software,software_description,software_versions,resource
Brotli-python,"Brotli is a generic-purpose lossless compression algorithm that compresses data using a combination of a modern variant of the LZ77 algorithm, Huffman coding and 2nd order context modeling, with a compression ratio comparable to the best currently available general-purpose compression methods. It is similar in speed with deflate but offers more dense compression. The specification of the Brotli Compressed Data Format is defined in RFC 7932.",1.0.9,aces
Brunsli,Brunsli is a lossless JPEG repacking library.,0.1,aces
CD-HIT,CD-HIT is a very widely used program for clustering and comparing protein or nucleotide sequences.,4.8.1,aces
CDO,CDO is a collection of command line Operators to manipulate and analyse Climate and NWP model Data.,2.0.5,aces
CESM-deps,"CESM is a fully-coupled, community, global climate model that provides state-of-the-art computer simulations of the Earth's past, present, and future climate states.",2,aces
CFITSIO,CFITSIO is a library of C and Fortran subroutines for reading and writing data files in FITS (Flexible Image Transport System) data format.,"4.2.0, 4.3.0",aces
CGAL,The goal of the CGAL Open Source Project is to provide easy access to efficient and reliable geometric algorithms in the form of a C++ library.,"4.14.3, 5.6",aces
CGNS,"The CGNS system is designed to facilitate the exchange of data between sites and applications, and to help stabilize the archiving of aerodynamic data.",4.4.0,aces
CLHEP,"The CLHEP project is intended to be a set of HEP-specific foundation and utility classes such as random generators, physics vectors, geometry and linear algebra. CLHEP is structured in a set of packages independent of any external package.",2.4.6.2,aces
CLIP,"CLIP (Contrastive Language-Image Pre-Training) is a neural network trained on a variety of (image, text) pairs. It can be instructed in natural language to predict the most relevant text snippet, given an image, without directly optimizing for the task, similarly to the zero-shot capabilities of GPT-2 and 3.",20230220-CUDA-11.7.0,aces
CMake,"CMake, the cross-platform, open-source build system. CMake is a family of tools designed to build, test and package software.","3.18.4, 3.20.1, 3.21.1, 3.22.1, 3.23.1, 3.24.3, 3.26.3, 3.27.6",aces
CP2K,"CP2K is a freely available (GPL) program, written in Fortran 95, to perform atomistic and molecular simulations of solid state, liquid, molecular and biological systems. It provides a general framework for different methods such as e.g. density functional theory (DFT) using a mixed Gaussian and plane waves approach (GPW), and classical pair and many-body potentials.","9.1-lib, 9.1, 2022.1-lib, 2022.1, 2023.1-CUDA-11.8.0, 2023.1-lib, 2023.1-PLUMED-2.9.0, 2023.1",aces
CUDA,CUDA (formerly Compute Unified Device Architecture) is a parallel computing platform and programming model created by NVIDIA and implemented by the graphics processing units (GPUs) that they produce. CUDA gives developers access to the virtual instruction set and memory of the parallel computational elements in CUDA GPUs.,"11.1.1, 11.3.1, 11.4.1, 11.7.0, 11.8.0, 12.0.0, 12.1.0, 12.1.1, 12.2.0, 12.2.2, 12.3.0, 12.3.2",aces
CUDA-Samples,Samples for CUDA Developers which demonstrates features in CUDA Toolkit,12.1-CUDA-12.1.1,aces
CUDAcore,CUDA (formerly Compute Unified Device Architecture) is a parallel computing platform and programming model created by NVIDIA and implemented by the graphics processing units (GPUs) that they produce. CUDA gives developers access to the virtual instruction set and memory of the parallel computational elements in CUDA GPUs.,11.1.1,aces
CUnit,Automated testing framework for C.,2.1-3,aces
Cartopy,Cartopy is a Python package designed to make drawing maps for data analysis and visualisation easy.,"0.20.3, 0.22.0",aces
Catch2,"Catch2 is mainly a unit testing framework for C++, but it also provides basic micro-benchmarking features, and simple BDD macros.",3.4.0,aces
Chameleon,"Chameleon is a framework written in C which provides routines to solve dense general systems of linear equations, symmetric positive definite systems of linear equations and linear least squares problems, using LU, Cholesky, QR and LQ factorizations.",1.2.0,aces
Check,"Check is a unit testing framework for C. It features a simple interface for defining unit tests, putting little in the way of the developer. Tests are run in a separate address space, so both assertion failures and code errors that cause segmentation faults or other signals can be caught. Test results are reportable in the following: Subunit, TAP, XML, and a generic logging format.",0.15.2,aces
ChimeraX,"UCSF ChimeraX (or simply ChimeraX) is the next-generation molecular visualization program from the Resource for Biocomputing, Visualization, and Informatics (RBVI), following UCSF Chimera.","1.3, 1.6.1, 1.7.1",aces
Clang,"C, C++, Objective-C compiler, based on LLVM. Does not include C++ standard library -- use libstdc++ from GCC.","13.0.1, 15.0.5, 16.0.6",aces
CliMetLab,"CliMetLab is a Python package aiming at simplifying access to climate and meteorological datasets, allowing users to focus on science instead of technical issues such as data access and data formats. It is mostly intended to be used in Jupyter notebooks, and be interoperable with all popular data analytic packages, such as Numpy, Pandas, Xarray, SciPy, Matplotlib, etc. as well as machine learning frameworks, such as Tensorflow, Keras or PyTorch.",0.12.6,aces
ColabFold,Making protein folding accessible to all. Predict proteins structures both in google colab and on your machine.,1.5.2-CUDA-11.7.0,aces
CoordgenLibs,Schrodinger-developed 2D Coordinate Generation,3.0.1,aces
CryoSPARC,CryoSPARC combines powerful innovations in 3D reconstruction algorithms with specially designed software to provide a streamlined end-to-end single particle cryo-EM workflow.,4.2.1,aces
CuPy,CuPy is an open-source array library accelerated with NVIDIA CUDA.,11.4.0-CUDA-11.4.1,aces
CubeGUI,"Cube, which is used as performance report explorer for Scalasca and Score-P, is a generic tool for displaying a multi-dimensional performance space consisting of the dimensions (i) performance metric, (ii) call path, and (iii) system resource. Each dimension can be represented as a tree, where non-leaf nodes of the tree can be collapsed or expanded to achieve the desired level of granularity. This module provides the Cube graphical report explorer.",4.8.2,aces
CubeLib,"Cube, which is used as performance report explorer for Scalasca and Score-P, is a generic tool for displaying a multi-dimensional performance space consisting of the dimensions (i) performance metric, (ii) call path, and (iii) system resource. Each dimension can be represented as a tree, where non-leaf nodes of the tree can be collapsed or expanded to achieve the desired level of granularity. This module provides the Cube general purpose C++ library component and command-line tools.","4.8.1, 4.8.2",aces
CubeWriter,"Cube, which is used as performance report explorer for Scalasca and Score-P, is a generic tool for displaying a multi-dimensional performance space consisting of the dimensions (i) performance metric, (ii) call path, and (iii) system resource. Each dimension can be represented as a tree, where non-leaf nodes of the tree can be collapsed or expanded to achieve the desired level of granularity. This module provides the Cube high-performance C writer library component.",4.8.2,aces
Cython,Cython is an optimising static compiler for both the Python programming language and the extended Cython programming language (based on Pyrex).,"0.29.33, 3.0.7",aces
DB,"Berkeley DB enables the development of custom data management solutions, without the overhead traditionally associated with such custom projects.",18.1.40,aces
DBCSR,"DBCSR stands for Distributed Blocked Compressed Sparse Row. DBCSR is a library designed to efficiently perform sparse matrix-matrix multiplication, among other operations.","2.5.0, 2.6.0",aces
DBus,"D-Bus is a message bus system, a simple way for applications to talk to one another. In addition to interprocess communication, D-Bus helps coordinate process lifecycle; it makes it simple and reliable to code a ""single instance"" application or daemon, and to launch applications and daemons on demand when their services are needed.","1.13.18, 1.14.0, 1.15.2, 1.15.4",aces
DCMTK,"DCMTK is a collection of libraries and applications implementing large parts the DICOM standard. It includes software for examining, constructing and converting DICOM image files, handling offline media, sending and receiving images over a network connection, as well as demonstrative image storage and worklist servers.",3.6.7,aces
Dorado,"Dorado is a high-performance, easy-to-use, open source basecaller for Oxford Nanopore reads.",0.5.2-CUDA-11.8.0,aces
Doxygen,"Doxygen is a documentation system for C++, C, Java, Objective-C, Python, IDL (Corba and Microsoft flavors), Fortran, VHDL, PHP, C#, and to some extent D.","1.8.20, 1.9.1, 1.9.4, 1.9.5, 1.9.7, 1.9.8",aces
Draco,Draco is a library for compressing and decompressing 3D geometric meshes and point clouds. It is intended to improve the storage and transmission of 3D graphics.,1.5.6,aces
ELPA,Eigenvalue SoLvers for Petaflop-Applications.,"2021.11.001, 2022.05.001-CUDA-11.8.0, 2022.05.001, 2023.05.001",aces
ESMF,"The Earth System Modeling Framework (ESMF) is a suite of software tools for developing high-performance, multi-component Earth science modeling applications.","8.0.1, 8.1.1, 8.3.0",aces
EasyBuild,"EasyBuild is a software build and installation framework written in Python that allows you to install software in a structured, repeatable and robust way.","4.7.1, 4.8.0, 4.8.2, 4.9.0",aces
EasyBuild-aces,EasyBuild environment variables for building system software in /tmp and installing in /sw/eb on aces.hprc.tamu.edu,0,aces
Eigen,"Eigen is a C++ template library for linear algebra: matrices, vectors, numerical solvers, and related algorithms.","3.3.8, 3.3.9, 3.4.0",aces
Emacs,"GNU Emacs is an extensible, customizable text editor--and more. At its core is an interpreter for Emacs Lisp, a dialect of the Lisp programming language with extensions to support text editing.","27.2, 28.2",aces
FFTW,"FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data.  FFTW.MPI: FFTW.MPI/3.3.10 FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data.","3.3.8, 3.3.9, 3.3.10",aces
FFmpeg,"A complete, cross-platform solution to record, convert and stream audio and video.","4.3.2, 4.4.2, 5.1.2, 6.0",aces
FLAC,"FLAC stands for Free Lossless Audio Codec, an audio format similar to MP3, but lossless, meaning that audio is compressed in FLAC without any loss in quality.","1.3.3, 1.3.4, 1.4.2",aces
FLTK,"FLTK is a cross-platform C++ GUI toolkit for UNIX/Linux (X11), Microsoft Windows, and MacOS X. FLTK provides modern GUI functionality without the bloat and supports 3D graphics via OpenGL and its built-in GLUT emulation.",1.3.8,aces
FastQC,"FastQC is a quality control application for high throughput sequence data. It reads in sequence data in a variety of formats and can either provide an interactive application to review the results of several different QC checks, or create an HTML based report which can be integrated into a pipeline.",0.11.9-Java-11,aces
FastTree,FastTree infers approximately-maximum-likelihood phylogenetic trees from alignments of nucleotide or protein sequences. FastTree can handle alignments with up to a million of sequences in a reasonable amount of time and memory.,2.1.11,aces
Fiona,"Fiona is designed to be simple and dependable. It focuses on reading and writing data in standard Python IO style and relies upon familiar Python types and protocols such as files, dictionaries, mappings, and iterators instead of classes specific to OGR. Fiona can read and write real-world data using multi-layered GIS formats and zipped virtual file systems and integrates readily with other Python GIS packages such as pyproj, Rtree, and Shapely.","1.8.21, 1.9.2, 1.9.5",aces
Firefox,"Firefox is a free, open source Web browser for Windows, Linux and Mac OS X. It is based on the Mozilla code base and offers customization options and features such as its capability to block pop-up windows, tabbed browsing, privacy and security measures, smart searching, and RSS live bookmarks.","118.0.2, 124.0.1",aces
Flask,"Flask is a lightweight WSGI web application framework. It is designed to make getting started quick and easy, with the ability to scale up to complex applications. This module includes the Flask extensions: Flask-Cors","1.1.2, 2.2.2",aces
FlexiBLAS,FlexiBLAS is a wrapper library that enables the exchange of the BLAS and LAPACK implementation used by a program without recompiling or relinking it.,"3.0.4, 3.2.0, 3.2.1, 3.3.1",aces
FreeXL,FreeXL is an open source library to extract valid data from within an Excel (.xls) spreadsheet.,1.0.6,aces
FriBidi,The Free Implementation of the Unicode Bidirectional Algorithm.,"1.0.10, 1.0.12",aces
GATK,"The Genome Analysis Toolkit or GATK is a software package developed at the Broad Institute to analyse next-generation resequencing data. The toolkit offers a wide variety of tools, with a primary focus on variant discovery and genotyping as well as strong emphasis on data quality assurance. Its robust architecture, powerful processing engine and high-performance computing features make it capable of taking on projects of any size.",4.4.0.0-Java-17,aces
GCC,"The GNU Compiler Collection includes front ends for C, C++, Objective-C, Fortran, Java, and Ada, as well as libraries for these languages (libstdc++, libgcj,...).","8.3.0, 10.2.0, 10.3.0, 11.2.0, 11.3.0, 12.2.0, 12.3.0, 13.1.0, 13.2.0",aces
GCCcore,"The GNU Compiler Collection includes front ends for C, C++, Objective-C, Fortran, Java, and Ada, as well as libraries for these languages (libstdc++, libgcj,...).","8.3.0, 10.2.0, 10.3.0, 11.2.0, 11.3.0, 12.2.0, 12.3.0, 13.1.0, 13.2.0",aces
GConf,"GConf is a system for storing application preferences. It is intended for user preferences; not configuration of something like Apache, or arbitrary data storage.",3.2.6,aces
GDAL,"GDAL is a translator library for raster geospatial data formats that is released under an X/MIT style Open Source license by the Open Source Geospatial Foundation. As a library, it presents a single abstract data model to the calling application for all supported formats. It also comes with a variety of useful commandline utilities for data translation and processing.","3.2.1, 3.3.0, 3.3.2, 3.5.0, 3.6.2, 3.7.1",aces
GDB,The GNU Project Debugger,13.2,aces
GDRCopy,A low-latency GPU memory copy library based on NVIDIA GPUDirect RDMA technology.,"2.1-CUDA-11.1.1, 2.2, 2.3, 2.3.1, 2.4",aces
GEOS,GEOS (Geometry Engine - Open Source) is a C++ port of the Java Topology Suite (JTS),"3.9.1, 3.10.3, 3.11.1, 3.12.0",aces
GKlib,A library of various helper routines and frameworks used by Karypis Lab software such as METIS.,"5.1.1, 20231211, 20240119, 20240321, 20240329",aces
GL2PS,GL2PS: an OpenGL to PostScript printing library,1.4.2,aces
GLFW,"GLFW is an Open Source, multi-platform library for OpenGL, OpenGL ES and Vulkan development on the desktop",3.3.8,aces
GLM,OpenGL Mathematics (GLM) is a header only C++ mathematics library for graphics software based on the OpenGL Shading Language (GLSL) specifications.,0.9.9.8,aces
GLPK,"The GLPK (GNU Linear Programming Kit) package is intended for solving large-scale linear programming (LP), mixed integer programming (MIP), and other related problems. It is a set of routines written in ANSI C and organized in the form of a callable library.",5.0,aces
GLib,GLib is one of the base libraries of the GTK+ project,"2.66.1, 2.68.2, 2.69.1, 2.72.1, 2.75.0, 2.77.1",aces
GMP,"GMP is a free library for arbitrary precision arithmetic, operating on signed integers, rational numbers, and floating point numbers.","6.2.0, 6.2.1, 6.3.0",aces
GObject-Introspection,"GObject introspection is a middleware layer between C libraries (using GObject) and language bindings. The C library can be scanned at compile time and generate a metadata file, in addition to the actual native C library. Then at runtime, language bindings can read this metadata and automatically provide bindings to call into the C library.","1.68.0, 1.72.0, 1.74.0, 1.76.1",aces
GRASS,"The Geographic Resources Analysis Support System - used for geospatial data management and analysis, image processing, graphics and maps production, spatial modeling, and visualization","8.2.0, 8.3.1",aces
GROMACS,"GROMACS is a versatile package to perform molecular dynamics, i.e. simulate the Newtonian equations of motion for systems with hundreds to millions of particles. This is a GPU enabled build, containing both MPI and threadMPI builds for both single and double precision. It also contains the gmxapi extension for the single precision MPI build next to PLUMED.","2021.5-CUDA-11.4.1-PLUMED-2.8.0, 2023.1-CUDA-11.7.0, 2023.1-CUDA-12.2.0, 2023.3-CUDA-11.8.0, ...",aces
GSL,"The GNU Scientific Library (GSL) is a numerical library for C and C++ programmers. The library provides a wide range of mathematical routines such as random number generators, special functions and least-squares fitting.","2.6, 2.7",aces
GStreamer,"GStreamer is a library for constructing graphs of media-handling components. The applications it supports range from simple Ogg/Vorbis playback, audio/video streaming to complex audio (mixing) and video (non-linear editing) processing.","1.18.5, 1.20.2, 1.22.1, 1.22.5",aces
GTK2,The GTK+ 2 package contains libraries used for creating graphical user interfaces for applications.,2.24.33,aces
GTK3,"GTK+ is the primary library used to construct user interfaces in GNOME. It provides all the user interface controls, or widgets, used in a common graphical application. Its object-oriented API allows you to construct user interfaces without dealing with the low-level details of drawing and device interaction.","3.24.31, 3.24.35, 3.24.37",aces
GTK4,"GTK+ is the primary library used to construct user interfaces in GNOME. It provides all the user interface controls, or widgets, used in a common graphical application. Its object-oriented API allows you to construct user interfaces without dealing with the low-level details of drawing and device interaction.",4.7.0,aces
GTS,GTS stands for the GNU Triangulated Surface Library. It is an Open Source Free Software Library intended to provide a set of useful functions to deal with 3D surfaces meshed with interconnected triangles.,0.7.6,aces
Gdk-Pixbuf,The Gdk Pixbuf is a toolkit for image loading and pixel buffer manipulation. It is used by GTK+ 2 and GTK+ 3 to load and manipulate images. In the past it was distributed as part of GTK+ 2 but it was split off into a separate package in preparation for the change to GTK+ 3.,"2.42.6, 2.42.8, 2.42.10",aces
Geant4,"Geant4 is a toolkit for the simulation of the passage of particles through matter. Its areas of application include high energy, nuclear and accelerator physics, as well as studies in medical and space science.",11.1.2,aces
Geant4-data,Datasets for Geant4.,11.1,aces
GenerativeModels,,0.2.1-CUDA-11.7.0,aces
Ghostscript,"Ghostscript is a versatile processor for PostScript data with the ability to render PostScript to different targets. It used to be part of the cups printing stack, but is no longer used for that.","9.54.0, 9.56.1, 10.0.0, 10.01.2",aces
GlobalArrays,Global Arrays (GA) is a Partitioned Global Address Space (PGAS) programming model,5.8.2,aces
Globus-CLI,"A Command Line Wrapper over the Globus SDK for Python, which provides an interface to Globus services from the shell, and is suited to both interactive and simple scripting use cases.",3.6.0,aces
GnuTLS,"GnuTLS is a secure communications library implementing the SSL, TLS and DTLS protocols and technologies around them. It provides a simple C language application programming interface (API) to access the secure communications protocols as well as APIs to parse and write X.509, PKCS #12, OpenPGP and other required structures. It is aimed to be portable and efficient with focus on security and interoperability.",3.7.3,aces
Go,"Go is an open source programming language that makes it easy to build simple, reliable, and efficient software.",1.18.3,aces
GraphBLAS,"SuiteSparse:GraphBLAS is a complete implementation of the GraphBLAS standard, which defines a set of sparse matrix operations on an extended algebra of semirings using an almost unlimited variety of operators and types. When applied to sparse adjacency matrices, these algebraic operations are equivalent to computations on graphs.",8.2.1,aces
Graphene,Graphene is a thin layer of types for graphic libraries,1.10.8,aces
GraphicsMagick,GraphicsMagick is the swiss army knife of image processing.,1.3.36,aces
Graphviz,"Graphviz is open source graph visualization software. Graph visualization is a way of representing structural information as diagrams of abstract graphs and networks. It has important applications in networking, bioinformatics, software engineering, database and web design, machine learning, and in visual interfaces for other technical domains.",5.0.0,aces
Greenlet,"The greenlet package is a spin-off of Stackless, a version of CPython that supports micro-threads called ""tasklets"". Tasklets run pseudo-concurrently (typically in a single or a few OS-level threads) and are synchronized with data exchanges on ""channels"". A ""greenlet"", on the other hand, is a still more primitive notion of micro-thread with no implicit scheduling; coroutines, in other words. This is useful when you want to control exactly when your code runs.",2.0.2,aces
Guile,"Guile is a programming language, designed to help programmers create flexible applications that can be extended by users or other programmers with plug-ins, modules, or scripts.",3.0.7,aces
HDF,HDF (also known as HDF4) is a library and multi-object file format for storing and managing data between machines.,"4.2.15, 4.2.16-2",aces
HDF-EOS,"HDF-EOS libraries are software libraries built on HDF libraries. It supports three data structures for remote sensing data: Grid, Point and Swath.",2.20,aces
HDF-EOS5,"HDF-EOS libraries are software libraries built on HDF libraries. It supports three data structures for remote sensing data: Grid, Point and Swath.",1.16,aces
HDF5,"HDF5 is a data model, library, and file format for storing and managing data. It supports an unlimited variety of datatypes, and is designed for flexible and efficient I/O and for high volume and complex data.","1.10.7, 1.12.1, 1.12.2, 1.14.0, 1.14.2, 1.14.3",aces
HH-suite,The HH-suite is an open-source software package for sensitive protein sequence searching based on the pairwise alignment of hidden Markov models (HMMs).,3.3.0,aces
HISAT2,HISAT2 is a fast and sensitive alignment program for mapping next-generation sequencing reads (both DNA and RNA) against the general human population (as well as against a single reference genome).,2.2.1,aces
HMMER,"HMMER is used for searching sequence databases for homologs of protein sequences, and for making protein sequence alignments. It implements methods using probabilistic models called profile hidden Markov models (profile HMMs). Compared to BLAST, FASTA, and other sequence alignment and database search tools based on older scoring methodology, HMMER aims to be significantly more accurate and more able to detect remote homologs because of the strength of its underlying mathematical models. In the past, this strength came at significant computational expense, but in the new HMMER3 project, HMMER is now essentially as fast as BLAST.",3.3.2,aces
HPC-X,"NVIDIA HPC-X is a comprehensive software package that includes Message Passing Interface (MPI), Symmetrical Hierarchical Memory (SHMEM) and Partitioned Global Address Space (PGAS) communications libraries, and various acceleration packages.",2.14,aces
HPRC_utils,HPRC_utils is a collection of useful utilities to accompany software modules on the TAMU HPRC clusters.,1.0,aces
HTSeq,HTSeq is a Python library to facilitate processing and analysis of data from high-throughput sequencing (HTS) experiments.,2.0.2,aces
HTSlib,A C library for reading/writing high-throughput sequencing data. This package includes the utilities bgzip and tabix,1.15.1,aces
HarfBuzz,HarfBuzz is an OpenType text shaping engine.,"2.8.1, 2.8.2, 4.2.1, 5.3.1",aces
Highway,"Highway is a C++ library for SIMD (Single Instruction, Multiple Data), i.e. applying the same operation to 'lanes'.","1.0.3, 1.0.4",aces
Horovod,Horovod is a distributed training framework for TensorFlow.,"0.22.1-CUDA-11.3.1-TensorFlow-2.6.0, 0.28.1-CUDA-11.7.0-TensorFlow-2.11.0, 0.28.1-CUDA-11.7.0-PyTorch-1.12.1",aces
Hyperopt,"hyperopt is a Python library for optimizing over awkward search spaces with real-valued, discrete, and conditional dimensions.",0.2.7,aces
Hypre,"Hypre is a library for solving large, sparse linear systems of equations on massively parallel computers. The problems of interest arise in the simulation codes being developed at LLNL and elsewhere to study physical phenomena in the defense, environmental, energy, and biological sciences.","2.25.0, 2.27.0, 2.31.0",aces
ICU,"ICU is a mature, widely used set of C/C++ and Java libraries providing Unicode and Globalization support for software applications.","67.1, 69.1, 71.1, 72.1, 73.2",aces
IML,IML is a free library of C source code which implements algorithms for computing exact solutions to dense systems of linear equations over the integers.,1.0.5,aces
IPython,"IPython provides a rich architecture for interactive computing with: Powerful interactive shells (terminal and Qt-based). A browser-based notebook with support for code, text, mathematical expressions, inline plots and other rich media. Support for interactive data visualization and use of GUI toolkits. Flexible, embeddable interpreters to load into your own projects. Easy to use, high performance tools for parallel computing.","7.26.0, 8.5.0, 8.14.0",aces
ISA-L,Intelligent Storage Acceleration Library,2.30.0,aces
ISL,isl is a library for manipulating sets and relations of integer points bounded by linear constraints.,0.26,aces
ITK,Insight Segmentation and Registration Toolkit (ITK) provides an extensive suite of software tools for registering and segmenting multidimensional imaging data.,5.2.1,aces
IgProf,IgProf is a simple nice tool for measuring and analysing application memory and performance characteristics.,5.9.18,aces
ImageJ,Image Processing and Analysis in Java,1.53t-Java-11,aces
ImageMagick,"ImageMagick is a software suite to create, edit, compose, or convert bitmap images","7.0.11-14, 7.1.0-4, 7.1.0-37, 7.1.0-53, 7.1.1-15",aces
Imath,"Imath is a C++ and python library of 2D and 3D vector, matrix, and math operations for computer graphics","3.1.5, 3.1.6, 3.1.7",aces
Jansson,"Jansson is a C library for encoding, decoding and manipulating JSON data. Its main features and design principles are: * Simple and intuitive API and data model * Comprehensive documentation * No dependencies on other libraries * Full Unicode support (UTF-8) * Extensive test suite",2.13.1,aces
JasPer,The JasPer Project is an open-source initiative to provide a free software-based reference implementation of the codec specified in the JPEG-2000 Part-1 standard.,"2.0.24, 2.0.28, 2.0.33, 4.0.0",aces
Java,"Java Platform, Standard Edition (Java SE) lets you develop and deploy Java applications on desktops and servers.","1.8.0_371, 11.0.16, 11.0.18, 17.0.6",aces
Jmol,"Jmol: an open-source Java viewer for chemical structures in 3D with features for chemicals, crystals, materials and biomolecules","16.1.59-Java-1.8.0_371, 16.1.59",aces
JsonCpp,"JsonCpp is a C++ library that allows manipulating JSON values, including serialization and deserialization to and from strings. It can also preserve existing comment in unserialization/serialization steps, making it a convenient format to store user input files.","1.9.4, 1.9.5",aces
Julia,"Julia is a high-level, high-performance dynamic programming language for numerical computing","1.8.5-linux-x86_64, 1.9.3-linux-x86_64, 1.10.0-musl-x86_64, 1.10.2-linux-x86_64",aces
