Software,RP Name
chromap,anvil
cicero,anvil
circexplorer2,anvil
circlator,anvil
circompara2,anvil
circos,anvil
ciri2,anvil
ciriquant,anvil
cistem,"aces, faster"
ckdmip,aces
clair3,anvil
clairvoyante,anvil
clang,"aces, faster"
clang-aomp,faster
clck,kyric
clearcnv,anvil
clever-toolkit,anvil
clhep,"aces, faster"
climetlab,aces
clip,aces
clonalframeml,anvil
clp,faster
clust,anvil
clustalw,anvil
clustalw2,faster
cluster,ookami
cm,ookami
cm-pmix3,expanse
cmake,"delta, anvil, darwin, expanse, stampede3, aces, faster, ookami, kyric, kyric"
cmd,ookami
cmjob,"expanse, ookami"
cnvkit,anvil
cnvnator,"anvil, faster"
cobaya,faster
code-server,faster
coinfinder,anvil
coinutils,faster
colabfold,"aces, faster"
colossal-ai,faster
colossalai,faster
compiler,"ookami, kyric"
compiler-rt,kyric
compiler-rt32,kyric
compiler32,kyric
compress-raw-zlib,faster
concoct,anvil
conda-env,delta
control-freec,anvil
cooler,anvil
coordgenlibs,"aces, faster"
coverm,anvil
covgen,anvil
cp2k,"anvil, expanse, stampede3, aces, faster"
cpe,"delta, ookami"
cpe-cuda,delta
cppunit,faster
cppy,"aces, faster"
cpu,expanse
cramino,anvil
crisprcasfinder,anvil
crispresso2,anvil
crispritz,anvil
cross,ookami
cross_match,anvil
crossmap,anvil
cryosparc,"darwin, aces"
cryptography,"aces, faster"
cryptsetup,kyric
csvkit,anvil
csvtk,anvil
cubegui,aces
cubelib,aces
cubewriter,aces
cuda,"delta, darwin, expanse, aces, faster, ookami, jetstream"
cuda-dcgm,expanse
cuda-samples,"aces, faster"
cudacore,"aces, faster"
cudf,"aces, faster"
cudnn,"delta, darwin, expanse, aces, faster"
cue-login-env,"delta, anvil, expanse"
cufflinks,"anvil, expanse"
cunit,"aces, faster"
cupy,"aces, faster"
curl,"anvil, expanse, aces, faster, ookami, kyric"
cusparselt,"aces, faster"
cusz,faster
cutadapt,"anvil, aces, faster"
cutensor,"delta, aces, faster"
cuttlefish,anvil
cxxopts,stampede3
cython,"aces, faster"
cython-blis,aces
cytoolz,faster
cyvcf2,anvil
dace,faster
dal,kyric
dalton,faster
darshan-runtime,expanse
darshan-util,expanse
das_tool,anvil
dask,"aces, faster"
datasets,anvil
db,"aces, faster"
db_file,faster
dbcsr,"aces, faster"
dbd-mysql,faster
dbg2olc,anvil
dbus,"aces, faster"
dbus-glib,"aces, faster"
dcmtk,"aces, faster"
ddt,stampede3
debreak,anvil
debugger,kyric
decona,faster
deconseq,anvil
deepbgc,anvil
deepconsensus,anvil
deepdiff,aces
deepsignal2,anvil
deeptools,anvil
deepvariant,anvil
default,"delta, ookami"
default-environment,expanse
default-s11,delta
defaultmodules,expanse
delly,anvil
dendropy,"anvil, faster"
desmond,faster
dev-utilities,kyric
devel,ookami
devito,faster
dft-d3,faster
dftbplus,expanse
diamond,"anvil, expanse, faster"
diffutils,kyric
dill,"aces, faster"
dimemas,kyric
dlib,faster
dm-reverb,faster
dm-tree,"aces, faster"
dnaapler,anvil
dnaio,anvil
dnnl,kyric
dnnl-cpu-gomp,kyric
dnnl-cpu-iomp,kyric
dnnl-cpu-tbb,kyric
docker,expanse
docker-user,aces
dorado,aces
dos2unix,delta
dot,ookami
double-conversion,"aces, faster"
doxygen,"expanse, aces, faster, ookami"
dpct,kyric
dpl,kyric
draco,"aces, faster"
dragonflye,anvil
drep,anvil
drop-seq,anvil
dropest,anvil
dsuite,anvil
dualsphysics,faster
easybuild,"aces, faster, kyric"
easybuild-aces,aces
easybuild-aces-myeb,aces
easybuild-aces-scratch,aces
easybuild-aces-tmp,aces
easybuild-faster,faster
easybuild-faster-myeb,faster
easybuild-faster-scratch,faster
easybuild-faster-tmp,faster
easysfs,anvil
ecbuild,"aces, faster"
eccodes,"aces, faster"
edlib,faster
edta,anvil
eggnog-mapper,anvil
eigen,"anvil, darwin, expanse, stampede3, aces, faster"
einops,"aces, faster"
elfutils,"aces, faster"
elpa,"expanse, aces, faster, ookami"
emacs,"anvil, darwin, aces"
emboss,"anvil, expanse, faster"
enchant-2,"aces, faster"
energyplus,faster
ensembl-vep,anvil
entrezdirect,expanse
epic2,anvil
esm,faster
esmf,"expanse, aces, faster"
espresso,ookami
evidencemodeler,anvil
exabayes,expanse
exiv2,"aces, faster"
exonerate,anvil
expansionhunter,anvil
expat,"aces, faster, kyric"
expecttest,"aces, faster"
extrae,kyric
eztrace,aces
fasta3,anvil
fastai,aces
fastani,anvil
fastcore,faster
fastp,"anvil, expanse"
fastq-scan,anvil
fastq_pair,anvil
fastqc,"anvil, expanse, aces, faster"
fastspar,anvil
faststructure,anvil
fasttree,"anvil, expanse"
fastx-toolkit,"anvil, expanse"
fastx_toolkit,anvil
fdasrsf,faster
femzip-l,faster
ffmpeg,"anvil, expanse, aces, faster, ookami"
ffnvcodec,"aces, faster"
fftw,"delta, anvil, darwin, expanse, aces, faster, kyric"
fftw.mpi,"aces, faster"
fftw3,stampede3
fiji,faster
file,"aces, faster"
filtlong,anvil
fiona,"aces, faster"
firefox,"aces, faster"
firestarter,faster
flac,"aces, faster"
flash,faster
flask,"aces, faster"
flatbuffers,"aces, faster"
flatbuffers-python,"aces, faster"
flex,"aces, faster, ookami"
flexiblas,"delta, aces, faster"
flit,"aces, faster"
fltk,"aces, faster"
flye,anvil
foldseek,faster
fontconfig,"aces, faster"
forge,ookami
formats,"aces, faster"
foss,"aces, faster"
fosscuda,"aces, faster"
fq,anvil
fraggenescan,anvil
fraggenescanrs,anvil
freebayes,"anvil, faster"
freeglut,"aces, faster"
freeimage,faster
freeipmi,ookami
freesurfer,expanse
freetype,"aces, faster"
freexl,"aces, faster"
freyja,anvil
fribidi,"aces, faster, ookami"
fseq,anvil
fsl,faster
ftp,anvil
fujitsu,"ookami, ookami"
funannotate,anvil
futhark,faster
fwdpy11,anvil
g2clib,"aces, faster"
g2lib,aces
gadma,anvil
gambit,anvil
gamess,expanse
gamma,anvil
gangstr,anvil
gapfiller,anvil
gapit,anvil
gatk,"anvil, expanse, aces, faster"
gatk4,anvil
gaussian,"darwin, expanse, faster"
gaussian09,expanse
gawk,"faster, kyric"
gc,"aces, faster"
gcatools,faster
gcc,"delta, anvil, darwin, expanse, stampede3, aces, faster, ookami, kyric"
gcc-native,delta
gcc-native-mixed,delta
gcc-nvptx,expanse
gcc-runtime,delta
gcccore,"aces, faster"
gcccuda,"aces, faster"
gconf,"aces, faster"
gdal,"anvil, darwin, expanse, aces, faster"
gdb,"anvil, darwin, expanse, aces, faster, ookami"
gdb4hpc,delta
gdbm,"faster, kyric"
gdk-pixbuf,"aces, faster"
gdrcopy,"delta, aces, faster"
gemma,anvil
gemoma,anvil
genemark,anvil
genemarks-2,anvil
generativemodels,aces
genmap,anvil
genomedata,anvil
genomepy,anvil
genomescope2,anvil
genomicconsensus,anvil
genrich,anvil
geocube,faster
geomview,darwin
geopandas,"aces, faster"
geos,"anvil, darwin, expanse, aces, faster, ookami"
getdist,faster
gethost,ookami
getorganelle,anvil
gettext,"aces, faster, kyric"
gfaffix,anvil
gfastats,anvil
gfatools,anvil
gfbf,"aces, faster"
gffcompare,anvil
gffread,anvil
gffutils,anvil
gh,"delta, expanse"
ghostscript,"aces, faster"
giflib,"aces, faster"
gimmemotifs,anvil
git,"delta, darwin, expanse, aces, faster, ookami, kyric"
git-lfs,"delta, darwin, expanse, aces, faster"
gitpython,faster
gklib,"stampede3, aces"
gl2ps,"aces, faster"
glew,"aces, faster"
glfw,"aces, faster"
glib,"aces, faster"
glib-networking,"aces, faster"
glibc,ookami
glimmer,anvil
glimmerhmm,anvil
glm,"delta, aces"
glnexus,anvil
globalarrays,"aces, faster"
globus-cli,"aces, faster"
glpk,"darwin, expanse, aces, faster"
gmap,anvil
gmap-gsnap,expanse
gmp,"anvil, darwin, expanse, aces, faster, ookami, kyric"
gmpy2,"aces, faster"
gmt,anvil
gnu,ookami
gnu9,kyric
gnuplot,"delta, anvil, darwin, expanse, aces, faster, ookami"
gnutls,"aces, faster"
go,"darwin, expanse, aces, faster, ookami, kyric"
go-bootstrap,kyric
goatools,anvil
gobff,faster
gobject-introspection,"aces, faster"
golang,darwin
gompi,"aces, faster"
gompic,"aces, faster"
googletest,"aces, faster"
gpaw,anvil
gperf,"aces, faster, ookami"
gperftools,"aces, faster, ookami"
gpflow,"aces, faster"
gpu,"expanse, ookami"
gpustat,"aces, faster"
gpy,faster
gpytorch,faster
graalvm,faster
grace,expanse
gradle,faster
grads,anvil
graphblas,aces
graphene,"aces, faster"
graphicsmagick,"aces, faster"
graphite2,"aces, faster"
graphlan,anvil
graphmap,anvil
graphviz,"expanse, aces, faster"
graphviz-python,aces
grass,"aces, faster"
greenlet,aces
gridss,anvil
groff,"aces, faster"
gromacs,"delta, anvil, darwin, expanse, stampede3, aces, faster, ookami, kyric"
grpc,faster
gsd-vmd,faster
gseapy,anvil
gsl,"delta, anvil, darwin, expanse, stampede3, aces, faster"
gslib,"aces, faster"
gst-plugins-bad,"aces, faster"
gst-plugins-base,"aces, faster"
gstreamer,"anvil, aces, faster"
gtdbtk,anvil
gthumb,delta
gtk+,faster
gtk2,"aces, faster"
gtk3,"aces, faster"
gtk4,"aces, faster"
gts,"aces, faster"
gubbins,anvil
guile,"aces, faster"
guppy,anvil
gurobi,"delta, anvil"
gurobi-dev,delta
gymnasium,faster
gzip,"aces, faster"
h5py,"aces, faster"
hadoop,"anvil, expanse"
hail,anvil
hap.py,anvil
harfbuzz,"aces, faster, ookami"
hatchling,"aces, faster"
hdbscan,faster
hdf,"anvil, expanse, aces, faster"
hdf-eos,aces
hdf-eos5,aces
hdf4,darwin
hdf5,"delta, anvil, darwin, expanse, stampede3, aces, faster"
helen,anvil
help2man,"aces, faster"
hh-suite,"aces, faster"
hic-pro,anvil
hicexplorer,anvil
hifiasm,"anvil, faster"
highway,"aces, faster"
hipify-clang,faster
hipsycl,faster
hiredis,"aces, faster"
hisat2,"anvil, expanse, aces, faster"
hmmer,"anvil, aces, faster"
homer,anvil
homopolish,anvil
horovod,"aces, faster"
hossedu,faster
how_are_we_stranded_here,anvil
hpc,
hpc-x,aces
hpctoolkit,anvil
hpcx,"darwin, ookami"
hpl,"expanse, faster"
hprc_utils,aces
htop,"delta, faster, ookami"
htseq,"anvil, aces, faster"
htslib,"anvil, expanse, aces, faster"
htstream,anvil
https,"aces, faster"
humann,"anvil, aces"
hunspell,"aces, faster"
hwloc,"delta, anvil, darwin, expanse, aces, faster, ookami, kyric, kyric"
hyper-shell,anvil
hyperopt,aces
hyphen,faster
hyphy,anvil
hypo,anvil
hypothesis,"aces, faster"
hypre,"expanse, stampede3, aces, faster"
iccifort,faster
iccifortcuda,faster
icu,"aces, faster"
icu4c,"darwin, kyric"
idba,anvil
idev,stampede3
idl,"darwin, expanse, stampede3"
igv,"anvil, faster"
iimkl,faster
iimpi,"aces, faster"
iimpic,faster
imageio,"aces, faster"
imagej,"aces, faster"
imagemagick,"delta, expanse, aces, faster, ookami"
imake,aces
imath,"aces, faster"
imb,kyric
imbalanced-learn,aces
imkl,"aces, faster"
imkl-fftw,"aces, faster"
iml,aces
impi,"anvil, stampede3, aces, faster"
impute2,anvil
infernal,anvil
info,ookami
init_opencl,kyric
inputproto,delta
inq,faster
inspector,kyric
instrain,anvil
intarna,anvil
intel,"delta, anvil, darwin, expanse, stampede3, aces, faster, ookami, kyric"
intel-compilers,"aces, faster"
intel-mkl,"anvil, darwin, expanse"
intel-mpi,expanse
intel-oneapi,darwin
intel-oneapi-advisor,delta
intel-oneapi-compilers,delta
intel-oneapi-mkl,"delta, darwin"
intel-oneapi-mpi,delta
intel-python,"darwin, faster"
intel-tbb,"delta, expanse"
intel_ai_toolkit,delta
intel_ipp_ia32,kyric
intel_ipp_intel64,kyric
intel_ippcp_ia32,kyric
intel_ippcp_intel64,kyric
intelcuda,faster
interproscan,"anvil, faster"
intltool,"aces, faster"
iomkl,faster
iompi,faster
ior,"delta, expanse"
iperf3,delta
ipmitool,ookami
ipython,"aces, faster"
iq-tree,expanse
iqtree,anvil
iqtree2,anvil
isa-l,"aces, faster"
isl,"aces, faster"
ismapper,anvil
isoquant,anvil
isoseq3,anvil
itac,"stampede3, kyric"
itk,"aces, faster"
ivar,anvil
jags,"expanse, faster"
jansson,"aces, faster"
jasper,"expanse, aces, faster"
java,"aces, faster"
jax,"aces, faster"
jbigkit,"aces, faster"
jcvi,anvil
jdftx,faster
jdk,darwin
jellyfish,expanse
jemalloc,"aces, faster"
jmol,aces
json-c,"aces, faster, kyric"
jsoncpp,"aces, faster"
judy,faster
julia,"delta, anvil, darwin, expanse, aces, faster, ookami"
junit,faster
jupyter,"anvil, ookami, jetstream"
jupyter-server,aces
jupyterhub,jetstream
jupyterlab,"aces, jetstream"
jupyternotebook,aces
kahip,"aces, faster"
kaiju,anvil
kakscalculator2,anvil
kalign,"aces, faster"
kallisto,"anvil, expanse"
kblas-gpu,aces
kbproto,delta
kcachegrind,darwin
kentutils,anvil
keras,"aces, faster, anvil"
khmer,anvil
kim-api,"aces, faster"
kineto,aces
kissde,anvil
kissplice,anvil
kissplice2refgenome,anvil
kma,anvil
kmc,anvil
kmer-jellyfish,anvil
kmergenie,anvil
kneaddata,anvil
knitro,faster
kokkos,"delta, expanse, stampede3, ookami"
kover,anvil
kraken2,anvil
krakentools,anvil
lambda,anvil
lame,"aces, faster"
lammps,"delta, anvil, darwin, expanse, stampede3, aces, faster, ookami"
lapack,"darwin, ookami"
lasso-python,aces
last,anvil
lastz,anvil
latest,ookami
latex,faster
launcher,anvil
lddt,faster
ldhat,anvil
ldjump,anvil
ldsc,anvil
learning,anvil
leptonica,"aces, faster"
lerc,"aces, faster"
leveldb,aces
lhsmdu,faster
libaec,"aces, faster"
libaio,"delta, faster, kyric"
libarchive,"aces, faster"
libbeagle,expanse
libbsd,"delta, kyric"
libcap,ookami
libcdms,faster
libcerf,"aces, faster"
libcifpp,faster
libdap,"aces, faster"
libdeflate,"aces, faster"
libdrm,"aces, faster"
libdrs,faster
libedit,kyric
libepoxy,"aces, faster"
libev,"aces, faster"
libevent,"aces, faster, kyric"
libfabric,"delta, anvil, darwin, aces, faster, ookami, kyric"
libffi,"delta, aces, faster, ookami, kyric"
libflame,"anvil, faster"
libgcrypt,"aces, faster"
libgd,"aces, faster, ookami"
libgeotiff,"aces, faster"
libgit2,"aces, faster"
libglu,"aces, faster"
libglvnd,"aces, faster"
libgpg-error,"aces, faster, kyric"
libgpuarray,"aces, faster"
libharu,faster
libice,delta
libiconv,"anvil, expanse, aces, faster, kyric"
libidn,"aces, faster"
libidn2,"aces, faster, kyric"
libint,"aces, faster"
libjpeg,delta
libjpeg-turbo,"expanse, aces, faster"
libmatheval,"expanse, faster"
libmd,delta
libmesh,anvil
libnotify,ookami
libnsl,"delta, faster"
libogg,"aces, faster"
libopus,"aces, faster"
libpciaccess,"expanse, aces, faster, kyric"
libpng,"expanse, aces, faster, ookami"
libpsl,"aces, faster"
libreadline,"aces, faster"
librom,"aces, faster"
librs,darwin
librsvg,"aces, faster"
librttopo,"aces, faster"
libseccomp,kyric
libsigsegv,"faster, kyric"
libsm,delta
libsndfile,"delta, aces, faster"
libsodium,"aces, faster"
libsoup,"aces, faster"
libspatialindex,"aces, faster"
libspatialite,"aces, faster"
libssh,faster
libszip,anvil
libtasn1,"aces, faster"
libtiff,"anvil, aces, faster"
libtirpc,"delta, expanse, aces, faster"
libtool,"aces, faster, kyric"
libunistring,"expanse, aces, faster, kyric"
libunwind,"expanse, aces, faster, ookami"
libv8,anvil
libvorbis,"aces, faster"
libvori,"aces, faster"
libwebp,"aces, faster"
libwpe,"aces, faster"
libx11,"delta, anvil"
libxau,delta
libxc,"expanse, aces, faster, ookami"
libxcb,delta
libxdmcp,delta
libxml2,"anvil, aces, faster, kyric"
libxslt,"aces, faster"
libxsmm,"aces, faster"
libxt,delta
libyaml,"aces, faster"
libzip,"aces, faster"
lifelines,aces
liftoff,anvil
liftofftools,anvil
likwid,"faster, ookami, kyric"
lima,anvil
linaro,ookami
links,anvil
linux,ookami
lis,faster
littlecms,"aces, faster"
lldb,ookami
llvm,"delta, darwin, aces, faster, ookami"
lmdb,"aces, faster"
lmod,"delta, delta, stampede3, aces, faster"
local,ookami
lofreq,anvil
longphase,anvil
longqc,anvil
loopy,faster
lra,anvil
ltr_finder,anvil
ltrpred,anvil
ltrpred(ict),anvil
lua,"expanse, aces, faster, ookami"
lumpy,faster
lumpy-sv,anvil
lustre,ookami
lvm2,kyric
lxml,"aces, faster"
lyveset,anvil
lz4,"aces, faster"
lzip,darwin
lzma,delta
lzo,faster
m4,"aces, faster, kyric"
macrel,anvil
macs2,anvil
macs3,anvil
maeparser,"aces, faster"
mafft,"anvil, expanse, faster"
mageck,"anvil, faster"
magicblast,anvil
magics,aces
magma,"delta, expanse, aces, faster"
mainmast,faster
make,"aces, faster, kyric"
makedepend,"aces, faster"
makeinfo,"aces, faster"
maker,anvil
mako,"aces, faster"
mamba,"aces, faster"
manta,anvil
map,stampede3
mapcaller,anvil
mapdamage2,anvil
marginpolish,anvil
mariadb,faster
mash,anvil
mashmap,anvil
mashtree,anvil
masurca,"anvil, faster"
mathematica,"darwin, faster"
matio,aces
matlab,"anvil, darwin, expanse, aces, faster, ookami, jetstream"
matlab-engine,faster
matlab_unlicensed,delta
matplotlib,"aces, faster"
maturin,aces
mauve,"anvil, faster"
maven,"aces, faster"
maxbin2,anvil
maxquant,anvil
mbuffer,faster
mccortex,faster
mcl,"anvil, faster"
mcoutbryk,faster
mcr,darwin
mcscanx,anvil
mdspan,stampede3
mdtest,delta
medaka,"anvil, faster"
meep,anvil
megadepth,anvil
megahit,"anvil, faster"
megan,anvil
meme,anvil
memes,anvil
memoryviewer,aces
meraculous,anvil
mercurial,"expanse, aces, ookami"
merqury,anvil
meryl,anvil
mesa,"aces, faster"
meson,"darwin, expanse, aces, faster"
meson-python,"aces, faster"
metabat,anvil
metachip,anvil
metaphlan,anvil
metaseq,anvil
methyldackel,anvil
metilene,anvil
metis,"delta, expanse, stampede3, aces, faster"
mfem,"aces, faster"
mhm2,anvil
microbedmm,anvil
minialign,anvil
miniasm,anvil
miniconda3,"aces, faster"
minimap2,"anvil, faster"
minipolish,anvil
miniprot,anvil
minizip,"aces, faster"
mirdeep2,"anvil, expanse"
mirtop,anvil
mitofinder,anvil
mkl,"stampede3, ookami, kyric"
mkl-service,faster
mkl32,kyric
mlnx,ookami
mlst,anvil
mmseqs2,anvil
mob-suite,anvil
mob_suite,anvil
modbam2bed,anvil
modeltest-ng,anvil
modtree,anvil
module,ookami
modulefiles,ookami
modules,ookami
moe,faster
mold,"aces, faster"
molden,"expanse, faster"
molmod,faster
momi,anvil
monai,aces
monitor,anvil
moose,faster
mothur,"anvil, faster"
motif,aces
motus,anvil
mpc,"anvil, aces, faster, kyric"
mpfr,"anvil, darwin, expanse, aces, faster, ookami, kyric"
mpi,"ookami, kyric"
mpi4py,"aces, faster"
mpich,"ookami, kyric"
mpip,expanse
mpl,stampede3
mrbayes,"anvil, expanse"
mujoco,faster
mujoco-py,faster
multichoose,faster
multiqc,"anvil, faster"
mummer,faster
mummer4,anvil
mumps,"expanse, aces, faster"
muparser,delta
muscle,anvil
musl,aces
mutmap,anvil
mvapich,"delta, stampede3"
mvapich-3.0rc_s11,delta
mvapich2,"anvil, expanse, kyric"
mvapich2-gdr,aces
mykrobe,anvil
n50,anvil
namd,"delta, anvil, darwin, expanse, stampede3, aces, faster, ookami"
namd-multicore-cuda,aces
namd-netlrts-smp-cuda,aces
namd-verbs-smp-cuda,aces
namd3,delta
nanofilt,"anvil, faster"
nanolyse,anvil
nanoplot,anvil
nanopolish,anvil
nasm,"aces, faster"
nbo,expanse
ncbi-amrfinderplus,anvil
ncbi-datasets,anvil
ncbi-genome-download,anvil
ncbi-table2asn,anvil
ncbi-vdb,"aces, faster"
nccl,"delta, expanse, aces, faster"
nccl-tests,faster
ncdu,ookami
ncl,"anvil, expanse, aces"
nco,"anvil, expanse, stampede3, aces, faster"
ncurses,"delta, expanse, aces, faster, ookami, kyric"
ncview,"anvil, expanse, stampede3"
ndiff,delta
netcdf,"darwin, stampede3, aces, faster, ookami"
netcdf-c,"delta, anvil, expanse"
netcdf-c++4,"aces, faster"
netcdf-combined,faster
netcdf-cxx,expanse
netcdf-cxx4,"anvil, darwin, expanse"
netcdf-fortran,"delta, anvil, darwin, expanse, aces, faster"
netcdf4-python,"aces, faster"
netcdff,stampede3
netlib-lapack,"anvil, expanse"
netlib-scalapack,"delta, expanse"
nettle,"aces, faster"
networkx,"aces, faster"
neuron,expanse
neusomatic,anvil
newick_utils,faster
nextalign,anvil
nextclade,anvil
nextdenovo,"anvil, faster"
nextflow,"anvil, faster"
nextpolish,"anvil, faster"
nf-core,anvil
nghttp2,"aces, faster"
nghttp3,"aces, faster"
ngs,faster
ngs-bits,anvil
ngsadmix,faster
ngsld,anvil
ngsutils,anvil
ngtcp2,"aces, faster"
nibabel,aces
ninja,"darwin, expanse, aces, faster, ookami"
nlohmann_json,"aces, faster"
nlopt,"aces, faster"
nltk,"faster, anvil"
nmad,aces
node,delta
nodejs,"aces, faster"
nompi,ookami
nostack,expanse
nosve,ookami
notebook,ookami
nspr,"aces, faster"
nss,"aces, faster"
nsync,"aces, faster"
ntl,darwin
nuitka,faster
null,ookami
numactl,"anvil, expanse, aces, faster, kyric"
numba,"aces, faster"
numexpr,faster
nv-codec-headers,faster
nvbio,faster
nvcomp,faster
nvhpc,"delta, expanse, aces, faster, ookami"
nvhpc_latest,delta
nvidia,ookami
nvidia-container-cli,"aces, faster"
nvidia-hpc-sdk,darwin
nvshmem,"aces, faster"
nvtop,"delta, aces, faster"
nwchem,"delta, anvil, expanse, stampede3"
obitools3,faster
oclfpga,kyric
octave,"anvil, expanse, faster, ookami"
odgi,anvil
ogdf,faster
ohpc,kyric
omb,kyric
oneapi,"faster, ookami"
onnx,"aces, faster, anvil"
onnx-runtime,"aces, faster"
opari2,aces
open-data-cube-core,faster
openacc,ookami
openai-gym,faster
openbabel,"expanse, aces, faster"
openblas,"delta, anvil, darwin, expanse, aces, faster, ookami, kyric"
opencensus-python,faster
